link,listed,address,price,bedrooms,bathrooms,area (m2),latitude,longitude
https://www.realestate.co.nz/42725589/residential/sale/10-gemstone-drive-birchville,22 hours ago,"10 Gemstone Drive, Birchville",Deadline Sale,3.0,1.0,555.0,,
https://www.realestate.co.nz/42725560/residential/sale/4-cheyne-walk-newlands,22 hours ago,"4 Cheyne Walk, Newlands",Tender,3.0,1.0,562.0,,
https://www.realestate.co.nz/42725559/residential/sale/46-sylvan-avenue-waikanae,22 hours ago,"46 Sylvan Avenue, Waikanae",Tender,3.0,2.0,809.0,,
https://www.realestate.co.nz/42725529/residential/sale/96-apu-crescent-lyall-bay,22 hours ago,"96 Apu Crescent, Lyall Bay","Buyer Enquiry Over $1,300,000",3.0,2.0,,,
https://www.realestate.co.nz/42725511/residential/sale/6-125-grant-road-thorndon,22 hours ago,"6/125 Grant Road, Thorndon",Deadline Sale,2.0,1.0,,,
https://www.realestate.co.nz/42725487/residential/sale/w302-160-victoria-street-te-aro,22 hours ago,"W302/160 Victoria Street, Te Aro","Buyer Enquiry Over $475,000",1.0,1.0,,,
https://www.realestate.co.nz/42725470/residential/sale/15-mckillop-street-ranui,23 hours ago,"15 Mckillop Street, Ranui",Tender,3.0,1.0,785.0,,
https://www.realestate.co.nz/42725465/residential/sale/83-tannadyce-street-strathmore-park,23 hours ago,"83 Tannadyce Street, Strathmore Park",Deadline Sale,5.0,3.0,422.0,,
https://www.realestate.co.nz/42725464/residential/sale/57-brougham-street-mount-victoria,23 hours ago,"57 Brougham Street, Mount Victoria",Tender,4.0,2.0,233.0,,
https://www.realestate.co.nz/42725454/residential/sale/15-charthouse-lane-whitby,23 hours ago,"15 Charthouse Lane, Whitby",Deadline Sale,3.0,1.0,690.0,,
https://www.realestate.co.nz/42725450/residential/sale/321-marine-drive-eastbourne,23 hours ago,"321 Marine Drive, Eastbourne",Deadline Sale,5.0,4.0,7548.0,,
https://www.realestate.co.nz/42725434/residential/sale/6-iris-grove-cannons-creek,23 hours ago,"6 Iris Grove, Cannons Creek",Tender,4.0,1.0,759.0,,
https://www.realestate.co.nz/42725420/residential/sale/241-ohiro-road-brooklyn,23 hours ago,"241 Ohiro Road, Brooklyn","Offers Over $895,000",2.0,1.0,433.0,,
https://www.realestate.co.nz/42725397/residential/sale/1-28-martin-square-te-aro,23 hours ago,"1/28 Martin Square, Te Aro","Offers Over $605,000",1.0,1.0,,,
https://www.realestate.co.nz/42725395/residential/sale/45b-mana-street-vogeltown,23 hours ago,"45B Mana Street, Vogeltown","Offers Over $895,000",3.0,1.0,546.0,,
https://www.realestate.co.nz/42725377/residential/sale/7a-kowhai-grove-waikanae,23 hours ago,"7A Kowhai Grove, Waikanae",Deadline Sale,2.0,1.0,839.0,,
https://www.realestate.co.nz/42725376/residential/sale/20-sunhaven-drive-newlands,23 hours ago,"20 Sunhaven Drive, Newlands",Deadline Sale,6.0,2.0,879.0,,
https://www.realestate.co.nz/42725369/residential/sale/1-54-webb-street-te-aro,23 hours ago,"1/54 Webb Street, Te Aro","$550,000",1.0,1.0,,,
https://www.realestate.co.nz/42725357/residential/sale/60-heke-street-ngaio,23 hours ago,"60 Heke Street, Ngaio",Tender,4.0,2.0,916.0,,
https://www.realestate.co.nz/42725356/residential/sale/19-thorby-street-northland,23 hours ago,"19 Thorby Street, Northland",Tender,3.0,1.0,323.0,,
https://www.realestate.co.nz/42725355/residential/sale/318-queens-drive-lyall-bay,23 hours ago,"318 Queens Drive, Lyall Bay",Tender,3.0,2.0,503.0,,
https://www.realestate.co.nz/42725352/residential/sale/31-derwent-street-island-bay,23 hours ago,"31 Derwent Street, Island Bay",Tender,4.0,2.0,569.0,,
https://www.realestate.co.nz/42725336/residential/sale/7-92-cambridge-terrace-waterloo,23 hours ago,"7/92 Cambridge Terrace, Waterloo","Buyer Enquiry Over $625,000",2.0,1.0,54.0,,
https://www.realestate.co.nz/42725332/residential/sale/34-talbot-grove-trentham,23 hours ago,"34 Talbot Grove, Trentham","Offers Over $865,000",4.0,2.0,445.0,,
https://www.realestate.co.nz/42725331/residential/sale/29-wright-street-mount-cook,23 hours ago,"29 Wright Street, Mount Cook","Buyer Enquiry Over $845,000",2.0,1.0,298.0,,
https://www.realestate.co.nz/42725324/residential/sale/3-st-aidans-way-tawa,yesterday,"3 St Aidans Way, Tawa",Deadline Sale,4.0,1.0,518.0,,
https://www.realestate.co.nz/42725323/residential/sale/27-turriff-crescent-tawa,yesterday,"27 Turriff Crescent, Tawa","Offers Over $745,000",4.0,1.0,610.0,,
https://www.realestate.co.nz/42725321/residential/sale/113-allington-road-karori,yesterday,"113 Allington Road, Karori","Buyer Enquiry Over $895,000",4.0,2.0,411.0,,
https://www.realestate.co.nz/42725315/residential/sale/32-exchange-street-ebdentown,yesterday,"32 Exchange Street, Ebdentown",Deadline Sale,3.0,1.0,257.0,,
https://www.realestate.co.nz/42725277/residential/sale/4-karepa-street-brooklyn,yesterday,"4 Karepa Street, Brooklyn","Buyer Enquiry Over $1,495,000",4.0,2.0,979.0,,
https://www.realestate.co.nz/42725270/residential/sale/75-rotherham-terrace-miramar,yesterday,"75 Rotherham Terrace, Miramar","Buyer Enquiry Over $1,245,000",6.0,2.0,434.0,,
https://www.realestate.co.nz/42725261/residential/sale/2-22-burns-grove-trentham,yesterday,"2/22 Burns Grove, Trentham",Tender,3.0,3.0,,,
https://www.realestate.co.nz/42725251/residential/sale/22-coolidge-street-brooklyn,yesterday,"22 Coolidge Street, Brooklyn","Buyer Enquiry Over $935,000",3.0,2.0,471.0,,
https://www.realestate.co.nz/42725245/residential/sale/170a-severn-street-island-bay,yesterday,"170a Severn Street, Island Bay","Buyer Enquiry Over $395,000",,,507.0,,
https://www.realestate.co.nz/42725242/residential/sale/86-moxham-ave-hataitai,yesterday,"86 Moxham Ave, Hataitai","Buyer Enquiry Over $1,445,000",5.0,2.0,756.0,,
https://www.realestate.co.nz/42725241/residential/sale/1-166-queens-drive-lyall-bay,yesterday,"1/166 Queens Drive, Lyall Bay","Buyer Enquiry Over $875,000",2.0,1.0,,,
https://www.realestate.co.nz/42725199/residential/sale/41-merton-street-trentham,yesterday,"41 Merton Street, Trentham","Offers Over $550,000",3.0,1.0,675.0,,
https://www.realestate.co.nz/42725192/residential/sale/22b-rangitane-street-maupuia,yesterday,"22B Rangitane Street, Maupuia",Deadline Sale,2.0,1.0,,,
https://www.realestate.co.nz/42725169/residential/sale/264c-old-school-road-maymorn,yesterday,"264C Old School Road, Maymorn",Deadline Sale,3.0,1.0,908.0,,
https://www.realestate.co.nz/42725142/residential/sale/9-te-ara-o-tahumate-stokes-valley,yesterday,"9 Te Ara o Tahumate, Stokes Valley",Negotiation,4.0,2.0,914.0,,
https://www.realestate.co.nz/42725131/residential/sale/43a-wyndham-road-pinehaven,yesterday,"43a Wyndham Road, Pinehaven",Deadline Sale,3.0,1.0,839.0,,
https://www.realestate.co.nz/42725125/residential/sale/5-te-ara-o-tahumate-stokes-valley,yesterday,"5 Te Ara o Tahumate, Stokes Valley",Negotiation,4.0,2.0,697.0,,
https://www.realestate.co.nz/42725089/residential/sale/77-the-masthead-whitby,yesterday,"77 The Masthead, Whitby",Deadline Sale,4.0,3.0,1498.0,,
https://www.realestate.co.nz/42725085/residential/sale/55-elizabeth-street-waikanae,yesterday,"55 Elizabeth Street, Waikanae",Deadline Sale,3.0,2.0,530.0,,
https://www.realestate.co.nz/42725061/residential/sale/47a-banks-boulevard-whitby,yesterday,"47A Banks Boulevard, Whitby",Tender,3.0,2.0,405.0,,
https://www.realestate.co.nz/42725055/residential/sale/19-staithes-drive-north-whitby,yesterday,"19 Staithes Drive North, Whitby",Deadline Sale,3.0,1.0,809.0,,
https://www.realestate.co.nz/42725043/residential/sale/12a-beryl-grove-birchville,yesterday,"12A Beryl Grove, Birchville",Deadline Sale,3.0,1.0,,,
https://www.realestate.co.nz/42724908/residential/sale/71-elizabeth-street-waikanae,yesterday,"71 Elizabeth Street, WAIKANAE",Deadline Sale,3.0,2.0,1012.0,,
https://www.realestate.co.nz/42724899/residential/sale/34-titoki-road-waikanae-beach,yesterday,"34  Titoki Road, WAIKANAE BEACH",Deadline Sale,2.0,2.0,1481.0,,
https://www.realestate.co.nz/42724888/residential/sale/19-6-bushland-grove-paparangi,yesterday,"19/6 Bushland Grove, Paparangi","Buyer Enquiry Over $875,000",3.0,1.0,190.0,,
https://www.realestate.co.nz/42724853/residential/sale/7-100-martin-st-wallaceville,yesterday,"7/100 Martin St, Wallaceville",Tender,2.0,1.0,,,
https://www.realestate.co.nz/42724850/residential/sale/4-california-drive-totara-park,yesterday,"4 California Drive, Totara Park",Deadline Sale,3.0,1.0,539.0,,
https://www.realestate.co.nz/42724834/residential/sale/11-manor-drive-stokes-valley,yesterday,"11 Manor Drive, Stokes Valley",Negotiation,4.0,1.0,506.0,,
https://www.realestate.co.nz/42724825/residential/sale/3-43-mulgrave-street-thorndon,yesterday,"3/43 Mulgrave Street, Thorndon",Deadline Sale,1.0,1.0,,,
https://www.realestate.co.nz/42724738/residential/sale/56-kakariki-grove-waikanae,yesterday,"56 Kakariki Grove, Waikanae",Deadline Sale,4.0,2.0,763.0,,
https://www.realestate.co.nz/42724695/residential/sale/40-koreke-close-porirua,yesterday,"40 Koreke Close, Porirua",Auction,3.0,3.0,131.0,,
https://www.realestate.co.nz/42724566/residential/sale/41a-bridge-road-birchville,yesterday,"41a Bridge Road, Birchville",Tender,4.0,1.0,1027.0,,
https://www.realestate.co.nz/42724563/residential/sale/532-fergusson-drive-trentham,yesterday,"532 Fergusson Drive, Trentham",Negotiation,4.0,2.0,818.0,,
https://www.realestate.co.nz/42724558/residential/sale/44a-puriri-street-miramar,yesterday,"44a Puriri Street, Miramar",Deadline Sale,3.0,3.0,527.0,,
https://www.realestate.co.nz/42724551/residential/sale/45-poole-crescent-wainuiomata,yesterday,"45 Poole Crescent, Wainuiomata",Negotiation,4.0,1.0,421.0,,
https://www.realestate.co.nz/42724480/residential/sale/24-jasmine-grove-maungaraki,yesterday,"24 Jasmine Grove, Maungaraki","Buyer Enquiry Over $745,000 Plus GST (if any)",3.0,1.0,609.0,,
https://www.realestate.co.nz/42724459/residential/sale/198-tutere-street-waikanae-beach,yesterday,"198 Tutere Street, WAIKANAE BEACH",Tender,3.0,1.0,830.0,,
